Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start DateAscending,Test Match
15,28,24,2,0,62.50,6,bowled,2,v Pakistan,Karachi,15 Nov 1989,Test # 1127
DNB,-,-,-,-,-,-,-,4,v Pakistan,Karachi,15 Nov 1989,Test # 1127
59,254,172,4,0,34.30,6,lbw,1,v Pakistan,Faisalabad,23 Nov 1989,Test # 1128
8,24,16,1,0,50.00,6,run out,3,v Pakistan,Faisalabad,23 Nov 1989,Test # 1128
41,124,90,5,0,45.55,7,bowled,1,v Pakistan,Lahore,1 Dec 1989,Test # 1130
35,74,51,5,0,68.62,6,lbw,1,v Pakistan,Sialkot,9 Dec 1989,Test # 1132
57,193,134,6,0,42.53,6,caught,3,v Pakistan,Sialkot,9 Dec 1989,Test # 1132
0,1,1,0,0,0.00,6,caught,2,v New Zealand,Christchurch,2 Feb 1990,Test # 1136
24,50,44,3,0,54.54,6,caught,3,v New Zealand,Christchurch,2 Feb 1990,Test # 1136
88,324,266,5,0,33.08,6,caught,1,v New Zealand,Napier,9 Feb 1990,Test # 1138
5,15,13,1,0,38.46,6,caught,2,v New Zealand,Auckland,22 Feb 1990,Test # 1139
DNB,-,-,-,-,-,-,-,4,v New Zealand,Auckland,22 Feb 1990,Test # 1139
10,30,19,1,0,52.63,6,bowled,2,v England,Lord's,26 Jul 1990,Test # 1148
27,93,65,4,0,41.53,6,caught,4,v England,Lord's,26 Jul 1990,Test # 1148
68,216,136,8,0,50.00,6,caught,2,v England,Manchester,9 Aug 1990,Test # 1149
119,225,189,17,0,62.96,6,not out,4,v England,Manchester,9 Aug 1990,Test # 1149
21,39,30,3,0,70.00,7,caught,1,v England,The Oval,23 Aug 1990,Test # 1150
11,92,-,-,0,-,6,lbw,1,v Sri Lanka,Chandigarh,23 Nov 1990,Test # 1156
16,47,42,3,0,38.09,6,bowled,1,v Australia,Brisbane,29 Nov 1991,Test # 1177
7,36,25,1,0,28.00,6,caught,3,v Australia,Brisbane,29 Nov 1991,Test # 1177
15,33,23,0,0,65.21,7,caught,1,v Australia,Melbourne,26 Dec 1991,Test # 1180
40,122,107,5,0,37.38,7,caught,3,v Australia,Melbourne,26 Dec 1991,Test # 1180
148,298,213,14,0,69.48,6,not out,2,v Australia,Sydney,2 Jan 1992,Test # 1181
6,20,8,1,0,75.00,6,lbw,2,v Australia,Adelaide,25 Jan 1992,Test # 1184
17,36,29,2,0,58.62,4,lbw,4,v Australia,Adelaide,25 Jan 1992,Test # 1184
114,228,161,16,0,70.80,4,caught,2,v Australia,Perth,1 Feb 1992,Test # 1186
5,12,9,1,0,55.55,4,caught,4,v Australia,Perth,1 Feb 1992,Test # 1186
0,4,3,0,0,0.00,4,caught,2,v Zimbabwe,Harare,18 Oct 1992,Test # 1197
11,35,24,1,0,45.83,4,run out,2,v South Africa,Durban,13 Nov 1992,Test # 1200
111,373,270,19,0,41.11,4,caught,2,v South Africa,Johannesburg,26 Nov 1992,Test # 1201
1,6,5,0,0,20.00,4,lbw,4,v South Africa,Johannesburg,26 Nov 1992,Test # 1201
6,27,17,1,0,35.29,4,caught,1,v South Africa,Port Elizabeth,26 Dec 1992,Test # 1206
0,1,1,0,0,0.00,4,caught,3,v South Africa,Port Elizabeth,26 Dec 1992,Test # 1206
73,272,208,8,1,35.09,5,caught,2,v South Africa,Cape Town,2 Jan 1993,Test # 1209
DNB,-,-,-,-,-,-,-,4,v South Africa,Cape Town,2 Jan 1993,Test # 1209
50,158,118,6,0,42.37,4,caught,1,v England,Kolkata,29 Jan 1993,Test # 1211
9,17,19,2,0,47.36,4,not out,4,v England,Kolkata,29 Jan 1993,Test # 1211
165,361,296,24,1,55.74,4,caught,1,v England,Chennai,11 Feb 1993,Test # 1213
78,285,213,10,0,36.61,4,lbw,2,v England,Mumbai,19 Feb 1993,Test # 1214
62,128,114,7,0,54.38,4,caught,1,v Zimbabwe,Delhi,13 Mar 1993,Test # 1218
DNB,-,-,-,-,-,-,-,-,v Sri Lanka,Kandy,17 Jul 1993,Test # 1226
28,74,52,5,0,53.84,4,caught,1,v Sri Lanka,Colombo (SSC),27 Jul 1993,Test # 1228
104,217,161,11,1,64.59,4,not out,3,v Sri Lanka,Colombo (SSC),27 Jul 1993,Test # 1228
71,202,152,10,0,46.71,4,caught,2,v Sri Lanka,Colombo (PSS),4 Aug 1993,Test # 1229
142,260,224,22,0,63.39,4,caught,1,v Sri Lanka,Lucknow,18 Jan 1994,Test # 1244
96,180,140,15,0,68.57,4,bowled,1,v Sri Lanka,Bangalore,26 Jan 1994,Test # 1245
6,25,14,1,0,42.85,4,bowled,2,v Sri Lanka,Ahmedabad,8 Feb 1994,Test # 1247
43,55,47,7,0,91.48,4,caught,2,v New Zealand,Hamilton,19 Mar 1994,Test # 1255
11,57,42,0,0,26.19,4,not out,4,v New Zealand,Hamilton,19 Mar 1994,Test # 1255
34,70,43,7,0,79.06,4,lbw,1,v West Indies,Mumbai,18 Nov 1994,Test # 1274
85,178,130,10,1,65.38,5,caught,3,v West Indies,Mumbai,18 Nov 1994,Test # 1274
179,414,322,24,1,55.59,4,caught,1,v West Indies,Nagpur,1 Dec 1994,Test # 1277
54,180,138,3,0,39.13,4,caught,3,v West Indies,Nagpur,1 Dec 1994,Test # 1277
40,72,55,9,0,72.72,4,caught,2,v West Indies,Mohali,10 Dec 1994,Test # 1278
10,38,24,2,0,41.66,4,caught,4,v West Indies,Mohali,10 Dec 1994,Test # 1278
4,7,4,1,0,100.00,4,caught,2,v New Zealand,Bangalore,18 Oct 1995,Test # 1308
0,3,0,0,0,-,4,not out,4,v New Zealand,Bangalore,18 Oct 1995,Test # 1308
52,98,88,5,0,59.09,4,not out,1,v New Zealand,Chennai,25 Oct 1995,Test # 1309
2,8,8,0,0,25.00,4,bowled,1,v New Zealand,Cuttack,8 Nov 1995,Test # 1310
24,71,41,4,0,58.53,4,bowled,1,v England,Birmingham,6 Jun 1996,Test # 1327
122,263,177,19,1,68.92,4,caught,3,v England,Birmingham,6 Jun 1996,Test # 1327
31,81,59,5,0,52.54,4,bowled,2,v England,Lord's,20 Jun 1996,Test # 1328
177,462,360,26,0,49.16,4,caught,1,v England,Nottingham,4 Jul 1996,Test # 1329
74,111,97,11,1,76.28,4,caught,3,v England,Nottingham,4 Jul 1996,Test # 1329
10,12,11,2,0,90.90,4,caught,2,v Australia,Delhi,10 Oct 1996,Test # 1335
0,6,7,0,0,0.00,4,bowled,4,v Australia,Delhi,10 Oct 1996,Test # 1335
42,80,64,7,0,65.62,4,caught,1,v South Africa,Ahmedabad,20 Nov 1996,Test # 1338
7,43,33,1,0,21.21,4,caught,3,v South Africa,Ahmedabad,20 Nov 1996,Test # 1338
18,91,62,3,0,29.03,4,bowled,2,v South Africa,Kolkata,27 Nov 1996,Test # 1341
2,28,25,0,0,8.00,4,caught,4,v South Africa,Kolkata,27 Nov 1996,Test # 1341
61,211,173,4,1,35.26,4,caught,1,v South Africa,Kanpur,8 Dec 1996,Test # 1344
36,129,98,4,0,36.73,5,caught,3,v South Africa,Kanpur,8 Dec 1996,Test # 1344
15,58,45,2,0,33.33,4,bowled,2,v South Africa,Durban,26 Dec 1996,Test # 1347
4,32,25,1,0,16.00,4,caught,4,v South Africa,Durban,26 Dec 1996,Test # 1347
169,329,254,26,0,66.53,5,caught,2,v South Africa,Cape Town,2 Jan 1997,Test # 1349
9,38,28,1,0,32.14,5,caught,4,v South Africa,Cape Town,2 Jan 1997,Test # 1349
35,72,55,7,0,63.63,4,caught,1,v South Africa,Johannesburg,16 Jan 1997,Test # 1350
9,13,11,2,0,81.81,4,caught,3,v South Africa,Johannesburg,16 Jan 1997,Test # 1350
7,40,30,1,0,23.33,4,bowled,2,v West Indies,Kingston,6 Mar 1997,Test # 1357
15,43,36,1,0,41.66,4,not out,4,v West Indies,Kingston,6 Mar 1997,Test # 1357
88,306,233,9,0,37.76,4,run out,2,v West Indies,Port of Spain,14 Mar 1997,Test # 1361
92,222,147,14,1,62.58,4,caught,2,v West Indies,Bridgetown,27 Mar 1997,Test # 1363
4,25,14,0,0,28.57,4,caught,4,v West Indies,Bridgetown,27 Mar 1997,Test # 1363
DNB,-,-,-,-,-,-,-,2,v West Indies,St John's,4 Apr 1997,Test # 1364
83,287,231,9,0,35.93,4,caught,1,v West Indies,Georgetown,17 Apr 1997,Test # 1365
143,292,247,20,0,57.89,4,caught,1,v Sri Lanka,Colombo (RPS),2 Aug 1997,Test # 1374
139,397,266,16,0,52.25,4,caught,2,v Sri Lanka,Colombo (SSC),9 Aug 1997,Test # 1376
8,43,44,1,0,18.18,4,caught,4,v Sri Lanka,Colombo (SSC),9 Aug 1997,Test # 1376
23,129,93,2,0,24.73,4,caught,2,v Sri Lanka,Mohali,19 Nov 1997,Test # 1385
15,38,20,1,1,75.00,4,bowled,1,v Sri Lanka,Nagpur,26 Nov 1997,Test # 1387
148,320,244,20,3,60.65,5,bowled,1,v Sri Lanka,Mumbai,3 Dec 1997,Test # 1390
13,28,16,1,0,81.25,4,caught,3,v Sri Lanka,Mumbai,3 Dec 1997,Test # 1390
4,7,5,1,0,80.00,4,caught,1,v Australia,Chennai,6 Mar 1998,Test # 1405
155,286,191,14,4,81.15,4,not out,3,v Australia,Chennai,6 Mar 1998,Test # 1405
79,109,86,12,2,91.86,4,caught,2,v Australia,Kolkata,18 Mar 1998,Test # 1409
177,298,207,29,3,85.50,4,bowled,1,v Australia,Bangalore,25 Mar 1998,Test # 1413
31,75,64,4,0,48.43,4,caught,3,v Australia,Bangalore,25 Mar 1998,Test # 1413
34,103,68,3,0,50.00,5,caught,2,v Zimbabwe,Harare,7 Oct 1998,Test # 1425
7,27,14,0,0,50.00,4,caught,4,v Zimbabwe,Harare,7 Oct 1998,Test # 1425
47,95,72,7,0,65.27,5,caught,1,v New Zealand,Wellington,26 Dec 1998,Test # 1435
113,200,151,13,2,74.83,5,caught,3,v New Zealand,Wellington,26 Dec 1998,Test # 1435
67,118,93,9,1,72.04,4,lbw,2,v New Zealand,Hamilton,2 Jan 1999,Test # 1438
DNB,-,-,-,-,-,-,-,4,v New Zealand,Hamilton,2 Jan 1999,Test # 1438
0,5,3,0,0,0.00,4,caught,2,v Pakistan,Chennai,28 Jan 1999,Test # 1442
136,405,273,18,0,49.81,4,caught,4,v Pakistan,Chennai,28 Jan 1999,Test # 1442
6,13,11,1,0,54.54,4,lbw,1,v Pakistan,Delhi,4 Feb 1999,Test # 1443
29,99,65,4,0,44.61,4,caught,3,v Pakistan,Delhi,4 Feb 1999,Test # 1443
0,2,1,0,0,0.00,5,bowled,2,v Pakistan,Kolkata,16 Feb 1999,Test # 1444
9,18,13,1,0,69.23,4,run out,4,v Pakistan,Kolkata,16 Feb 1999,Test # 1444
53,94,54,10,0,98.14,4,caught,1,v Sri Lanka,Colombo (SSC),24 Feb 1999,Test # 1445
124,308,235,10,1,52.76,4,not out,3,v Sri Lanka,Colombo (SSC),24 Feb 1999,Test # 1445
18,61,34,3,0,52.94,4,bowled,1,v New Zealand,Mohali,10 Oct 1999,Test # 1462
126,397,248,14,0,50.80,4,not out,3,v New Zealand,Mohali,10 Oct 1999,Test # 1462
15,76,54,3,0,27.77,4,caught,2,v New Zealand,Kanpur,22 Oct 1999,Test # 1464
44,58,39,8,0,112.82,4,not out,4,v New Zealand,Kanpur,22 Oct 1999,Test # 1464
217,494,344,29,0,63.08,4,caught,1,v New Zealand,Ahmedabad,29 Oct 1999,Test # 1465
15,16,10,3,0,150.00,2,bowled,3,v New Zealand,Ahmedabad,29 Oct 1999,Test # 1465
61,181,133,8,0,45.86,5,caught,2,v Australia,Adelaide,10 Dec 1999,Test # 1476
0,6,5,0,0,0.00,5,lbw,4,v Australia,Adelaide,10 Dec 1999,Test # 1476
